id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
571183866d73f,objTwoColors,#00FF80,55,169,89,5,0.17,0.1,0.23,0.13,0.05,0.06,0.28,0.3,0.36,0.37,0.37,0.38,0.37,0.72
57119224388ef,objTwoColors,#00FF80,51,194,551,5,0.3,0.1,0.24,0.11,0.09,0.11,0.37,0.38,0.5,0.51,0.51,0.52,0.51,0.84
5711ace2ee7ed,objTwoColors,#00FF80,55,196,110,4,0.29,0.1,0.25,0.1,0.08,0.11,0.4,0.41,0.5,0.51,0.5,0.51,0.51,0.86
5711cbde51bb0,objTwoColors,#00FF80,56,186,87,3,0.23,0.11,0.23,0.11,0.06,0.08,0.35,0.35,0.44,0.45,0.45,0.45,0.45,0.8
5711f4ec96b9c,objTwoColors,#00FF80,48,12,289,1,0.55,0.27,0.29,0.26,0.27,0.25,0.6,0.6,0.43,0.44,0.39,0.43,0.44,0.76
571210e10d88b,objTwoColors,#00FF80,183,57,260,3,0.51,0.11,0.23,0.11,0.05,0.08,0.64,0.65,0.3,0.31,0.24,0.31,0.31,0.27
571214121717c,objTwoColors,#00FF80,56,226,68,5,0.45,0.06,0.33,0.1,0.17,0.2,0.57,0.57,0.65,0.66,0.64,0.66,0.66,1.01
57121540dbb98,objTwoColors,#00FF80,152,153,113,5,0.22,0.02,0.25,0.07,0.04,0.02,0.52,0.53,0.25,0.28,0.22,0.29,0.28,0.59
5712197fbccd5,objTwoColors,#00FF80,0,81,106,3,0.63,0.21,0.3,0.22,0.21,0.19,0.22,0.22,0.49,0.51,0.5,0.52,0.51,0.63
57121e2a63601,objTwoColors,#00FF80,0,0,0,5,0.8,0.39,0.38,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
57122801e1da9,objTwoColors,#00FF80,59,182,151,5,0.19,0.11,0.23,0.11,0.05,0.07,0.34,0.34,0.4,0.42,0.42,0.42,0.42,0.78
57123bec83e8e,objTwoColors,#00FF80,187,65,309,2,0.53,0.1,0.24,0.09,0.05,0.07,0.65,0.64,0.33,0.35,0.3,0.36,0.35,0.25
57123e4050550,objTwoColors,#00FF80,3,0,278,3,0.8,0.39,0.38,0.36,0.39,0.38,0.39,0.4,0.69,0.69,0.64,0.67,0.69,0.83
57123e4050550,objTwoColors,#00FF80,0,147,908,4,0.57,0.1,0.3,0.19,0.12,0.15,0.16,0.17,0.55,0.57,0.57,0.58,0.57,0.69
571247f66fb51,objTwoColors,#00FF80,172,136,995,3,0.44,0.03,0.25,0.05,0.06,0.03,0.62,0.62,0.38,0.39,0.34,0.4,0.39,0.47
571252e6d2e70,objTwoColors,#00FF80,101,0,94,5,0.39,0.16,0.32,0.2,0.12,0.17,0.81,0.81,0.28,0.29,0.32,0.27,0.29,0.83
571260c120253,objTwoColors,#00FF80,199,53,235,4,0.62,0.1,0.25,0.1,0.09,0.12,0.69,0.69,0.42,0.42,0.33,0.41,0.42,0.19
