id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
5711cbde51bb0,objTwoColors,#0080FF,0,233,63,4,0.64,0.12,0.19,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
571214121717c,objTwoColors,#0080FF,228,0,159,5,0.86,0.11,0.18,0.09,0.18,0.17,0.4,0.43,0.53,0.4,0.43,1.06
5712197fbccd5,objTwoColors,#0080FF,0,167,34,4,0.66,0.41,0.14,0.06,0.01,0.05,0.58,0.55,0.6,0.58,0.55,0.74
57121e2a63601,objTwoColors,#0080FF,105,57,224,5,0.34,0.41,0.14,0.12,0.2,0.17,0.77,0.74,0.76,0.77,0.74,0.49
57122801e1da9,objTwoColors,#0080FF,205,229,201,3,0.64,0.07,0.16,0.19,0.28,0.32,0.43,0.41,0.23,0.43,0.41,0.48
57123bec83e8e,objTwoColors,#0080FF,250,176,390,3,0.77,0.05,0.14,0.14,0.23,0.25,0.03,0.07,0.2,0.03,0.07,0.83
57123e4050550,objTwoColors,#0080FF,7,242,211,3,0.63,0.15,0.2,0.09,0.19,0.18,0.87,0.83,0.67,0.87,0.83,0.46
571245dfd5f63,objTwoColors,#0080FF,247,0,279,4,0.88,0.15,0.2,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
571247f66fb51,objTwoColors,#0080FF,233,181,244,3,0.75,0.01,0.14,0.15,0.22,0.26,0.05,0.09,0.17,0.05,0.09,0.8
571252e6d2e70,objTwoColors,#0080FF,232,0,64,5,0.87,0.12,0.19,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
571260c120253,objTwoColors,#0080FF,236,0,468,4,0.88,0.12,0.2,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
5712649f2fada,objTwoColors,#0080FF,232,0,92,5,0.87,0.12,0.19,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5712787a337a9,objTwoColors,#0080FF,58,107,176,4,0.56,0.41,0.14,0.12,0.2,0.17,0.74,0.71,0.74,0.74,0.71,0.66
57127bcfaafb0,objTwoColors,#0080FF,51,122,664,4,0.6,0.41,0.14,0.13,0.2,0.17,0.75,0.71,0.74,0.75,0.71,0.7
5712a47f6f8a6,objTwoColors,#0080FF,0,182,192,3,0.61,0.09,0.14,0.05,0.02,0.02,0.61,0.57,0.51,0.61,0.57,0.66
5712bd55a8a13,objTwoColors,#0080FF,211,0,109,3,0.79,0.09,0.14,0.07,0.13,0.11,0.47,0.46,0.47,0.47,0.46,0.98
