id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9
57112da850667,objTwoColors,#FF007F,284,352,256,3,0.38,0.1,0.08,0.13,0.17,0.12,0.75,0.75,0.56,0.75,0.75,0.39,0.4,0.54,0.39
57112ebc85ba1,objTwoColors,#FF007F,9,0,172,5,0.83,0.16,0.07,0.23,0.29,0.25,0.35,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
57112edad4a17,objTwoColors,#FF007F,2,0,55,4,0.83,0.16,0.05,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.61,0.59,0.39,0.57
571130c5cd6e9,objTwoColors,#FF007F,12,184,102,3,0.82,0.38,0.12,0.03,0.02,0.05,0.22,0.22,0.32,0.22,0.22,0.6,0.6,0.44,0.6
571130d934bda,objTwoColors,#FF007F,301,56,162,4,0.2,0.16,0.09,0.05,0.12,0.03,0.69,0.69,0.6,0.69,0.69,0.04,0.05,0.24,0.05
5711348e42f02,objTwoColors,#FF007F,355,231,134,4,1.05,0.24,0.1,0.09,0.19,0.12,0.24,0.25,0.42,0.26,0.25,0.83,0.83,0.66,0.83
571137a34931a,objTwoColors,#FF007F,7,0,45,2,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
571138253c724,objTwoColors,#FF007F,181,10,363,3,0.53,0.37,0.12,0.04,0.03,0.06,0.74,0.73,0.55,0.74,0.73,0.46,0.46,0.53,0.45
5711389736065,objTwoColors,#FF007F,34,52,348,5,0.54,0.2,0.13,0.14,0.17,0.17,0.47,0.47,0.38,0.47,0.47,0.33,0.32,0.17,0.31
57113b9642c48,objTwoColors,#FF007F,266,0,510,5,0.32,0.13,0.1,0.11,0.17,0.12,0.85,0.83,0.65,0.83,0.83,0.47,0.48,0.62,0.46
57113d4d93c81,objTwoColors,#FF007F,348,0,73,4,0.8,0.15,0.07,0.23,0.29,0.24,0.36,0.35,0.16,0.35,0.35,0.57,0.56,0.36,0.54
57113de4aed1a,objTwoColors,#FF007F,5,312,160,4,0.87,0.07,0.07,0.17,0.2,0.15,0.04,0.03,0.16,0.03,0.03,0.64,0.64,0.45,0.63
57113e3362c9f,objTwoColors,#FF007F,12,56,356,2,0.55,0.17,0.1,0.14,0.19,0.17,0.36,0.35,0.27,0.35,0.35,0.33,0.32,0.16,0.32
57113e6176346,objTwoColors,#FF007F,0,308,288,2,0.88,0.03,0.07,0.17,0.2,0.15,0,0.02,0.19,0.02,0.02,0.66,0.65,0.47,0.65
571153ca15566,objTwoColors,#FF007F,308,196,1095,1,0.58,0.39,0.09,0.1,0.23,0.16,0.49,0.51,0.63,0.51,0.51,0.35,0.37,0.54,0.37
571154184c9bd,objTwoColors,#FF007F,13,0,72,1,0.82,0.16,0.07,0.23,0.29,0.24,0.36,0.34,0.16,0.35,0.34,0.6,0.58,0.38,0.56
5711613cca97d,objTwoColors,#FF007F,223,54,370,5,0.05,0.37,0.08,0.02,0.03,0.04,0.87,0.86,0.77,0.86,0.86,0.23,0.24,0.4,0.23
5711641931da5,objTwoColors,#FF007F,5,0,295,2,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
571165992a5c1,objTwoColors,#FF007F,288,353,0,3,0.4,0.08,0.08,0.13,0.17,0.12,0.73,0.73,0.54,0.73,0.73,0.37,0.38,0.52,0.37
57116b9b879bf,objTwoColors,#FF007F,304,320,8,4,0.5,0.14,0.07,0.13,0.17,0.13,0.43,0.43,0.43,0.43,0.43,0.31,0.32,0.48,0.32
5711703bd85fc,objTwoColors,#FF007F,9,55,129,5,0.57,0.17,0.1,0.14,0.19,0.17,0.35,0.34,0.26,0.34,0.34,0.34,0.33,0.16,0.32
5711800f2c5f3,objTwoColors,#FF007F,5,201,198,2,0.92,0.29,0.09,0.04,0.08,0.02,0.18,0.19,0.34,0.19,0.19,0.69,0.69,0.53,0.69
571183866d73f,objTwoColors,#FF007F,357,0,223,5,0.83,0.16,0.07,0.24,0.29,0.25,0.33,0.32,0.15,0.32,0.32,0.6,0.59,0.39,0.57
57119224388ef,objTwoColors,#FF007F,273,49,533,5,0.11,0.09,0.07,0.02,0.08,0.03,0.81,0.81,0.7,0.81,0.81,0.21,0.22,0.37,0.21
5711ace2ee7ed,objTwoColors,#FF007F,8,0,30,5,0.83,0.16,0.07,0.23,0.29,0.25,0.34,0.33,0.15,0.33,0.33,0.6,0.59,0.39,0.57
5711cbde51bb0,objTwoColors,#FF007F,201,23,250,3,0.35,0.4,0.1,0.02,0.02,0.01,0.77,0.76,0.59,0.76,0.76,0.37,0.38,0.5,0.37
571214121717c,objTwoColors,#FF007F,56,259,194,2,1.01,0.06,0.07,0.02,0.05,0.04,0.48,0.49,0.65,0.49,0.49,0.83,0.83,0.76,0.83
5712197fbccd5,objTwoColors,#FF007F,0,301,294,2,0.91,0,0.07,0.16,0.19,0.13,0.03,0.05,0.23,0.05,0.05,0.69,0.68,0.5,0.67
57121e2a63601,objTwoColors,#FF007F,353,23,279,1,0.74,0.16,0.08,0.21,0.27,0.22,0.31,0.31,0.15,0.31,0.31,0.51,0.5,0.3,0.49
57122801e1da9,objTwoColors,#FF007F,343,0,169,2,0.77,0.14,0.07,0.22,0.28,0.23,0.39,0.38,0.19,0.38,0.38,0.55,0.53,0.33,0.51
57123bec83e8e,objTwoColors,#FF007F,189,358,281,3,0.5,0.33,0.11,0.03,0.05,0.03,0.75,0.75,0.56,0.75,0.75,0.46,0.45,0.56,0.44
